OBJECTID,LOC_ID,FAC_TYP,FAC_SVC,PUB_PKG,SPACE_NO,COMMENTS,RESERV,FEE,HRLY_RATE,DLY_MAX,TM_LMT,RATE_NOTES,MO_RATE,MO_RATE_NOTES,VAL,VAL_TM,VAL_NOTES,NGHT_WKND_RATE,NGHT_WKND_RATE_NOTES,EVENT_FEE,EVENT_NOTES,HTL_FREE,GUEST_RATE,LOT_CTRL,OWN,PKG_OP,CLV_ENF,USE_TYP,MTR_LOT_NUM,LAST_UPDATE,LAST_EDITOR,SHAPE_Length,SHAPE_Area,RV TAG,Report No,SIDE,TIME_LIMIT,DAYS,LOT,ZONE_TYPE,HOURS,LMT_DISPLAY,FLAG,Fiscal year,Location 1
283,287,Surface,Aamco,N,40,Unstriped,Customers,N,,,,,,,N/A,,,,,5,20 spaces for First Friday,N/A,,,,N/A,NO,Retail,,,,583.717952623288,18035.6329338656,,,,,,,,,,,2017,"1323 S Main St
Las Vegas, Nevada
(36.155105, -115.153828)"
94,,Parallel,,,6,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,142.907487800675,,On Street parking,4,S,10HR,M-F,66,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2017,"300 E. Bonneville
Las Vegas, Nevada
(36.164413, -115.146727)"
126,,Parallel,,,7,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,235.490723010001,,On Street parking,4,S,10HR,M-F,126,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2017,"500 E. Bonneville
Las Vegas, Nevada
(36.163399, -115.144398)"
156,159,Surface,Apartments - Aavis,N,6,,Residents,N,,,,,,,,,,,,,,N/A,,,,,NO,Residential,,,,143.848703111455,1080.20245624568,,,,,,,,,,,2017,"217 N 9th St
Las Vegas, Nevada
(36.169042, -115.134991)"
107,,Parallel,,,13,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,12/27/2016 12:00:00 AM,JHillhouse,333.658896413171,,On Street parking,4,E,10HR,M-F,160,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2017,"100 N. 9th St
Las Vegas, Nevada
(36.16728, -115.136101)"
404,410,Surface,Llantis Tire Repair,N,3,Open Lot only 3 striped spaces,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Retail,,,,467.44137965535,13396.0925066866,,,,,,,,,,,2017,"25 W Charleston Blvd
Las Vegas, Nevada
(36.15878, -115.154505)"
325,329,Surface,Culinary Union Parking Lot,N,32,,Culinary Members Only,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,514.916044760023,16563.9460234965,,,,,,,,,,,2017,"133 W New York Ave
Las Vegas, Nevada
(36.150871, -115.157055)"
619,626,Surface,D Casino,N,,,"Employees, Valet and Contractors",,,,,,,,,,,,,,,,,,D Casino,,NO,Gaming,,08/14/2014 12:00:00 AM,JHillhouse,1399.99453221114,120073.849844998,,,,,,,,,,,2017,"200 S 3rd St
Las Vegas, Nevada
(36.168393, -115.144135)"
277,281,Surface,Armstrongs Emporium,N,10,,Employees,N,,,,,,,,,,,,,,N/A,,,,,NO,Retail,,,,256.972247222036,2518.80538031192,,,,,,,,,,,2017,"30 W Imperial Ave
Las Vegas, Nevada
(36.154843, -115.154783)"
366,372,Surface,John E Carson Lot,Y,29,,,Y,2,10,24,7 days a week,,,N/A,,,,,10,Fee varies $10 - $35 depending on event,N/A,,Metered,Downtown Project,City of Las Vegas,Y,,195,12/03/2015 12:00:00 AM,JHillhouse,476.014974740547,13903.9444837743,Private Lots-City Run,3,,,,,,,,,2016,"120 S 6th St
Las Vegas, Nevada
(36.167992, -115.14001)"
566,573,Garage,Stratosphere,N,1912,,Employees,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Gaming,,,,1194.71193084893,58317.0794350756,,,,,,,,,,,2017,"2000 S Las Vegas Blvd
Las Vegas, Nevada
(36.14841, -115.154353)"
250,254,Surface,Apartments / Business Building,N,7,Unstriped,Customer & Resident,N,,,,,,,,,,,,,,N/A,,,,,NO,Mixed Use,,,,329.177075691453,3467.08011361717,,,,,,,,,,,2017,"1000 S 3rd St
Las Vegas, Nevada
(36.159518, -115.149918)"
358,362,Surface,Downtowner Lot,Y,51,"51 total spaces, 2 handicapped",,Y,2,10,,,30,,,,,$10 Nights,,10,Fee varies $10 - $30 depending on event,NA,,Metered,Downtown Project,City of Las Vegas,Y,,163,11/07/2016 12:00:00 AM,JHillhouse,576.355965854012,20725.9732301063,Private Lots-City Run,3,,,,,,,,,2017,"108 N 8th St
Las Vegas, Nevada
(36.168283, -115.136931)"
288,292,Surface,Wedding Chapel -Graceland,N,11,,Customers,N,,,,,,,N/A,,,,,,,N/A,,None,,,NO,Retail,,,,261.471888360816,4063.57154716965,,,,,,,,,,,2017,"619 S Las Vegas Blvd
Las Vegas, Nevada
(36.162777, -115.144803)"
18,,Parallel,,,6,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,254.072827310987,,On Street parking,4,W,10HR,M-F,86,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2017,"200 S. 7th
Las Vegas, Nevada
(36.167112, -115.139135)"
225,228,Surface,801 6th St Business only,N,9,Parking in rear,Customers Only,N,,,,,,,N/A,,,,,,,N/A,,,,N/A,NO,Office,,,,266.017063716014,4194.42504252522,,,,,,,,,,,2017,"801 S 6th St
Las Vegas, Nevada
(36.160492, -115.144931)"
17,,Angle,,,25,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,313.743797987771,,On Street parking,4,E,4HR,S-S,85,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2016,"100 S. 7th
Las Vegas, Nevada
(36.167652, -115.138786)"
99,,Parallel,,,8,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,189.942012403299,,On Street parking,4,S,4HR,S-S,150,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2017,"1 E. Ogden
Las Vegas, Nevada
(36.172822, -115.145537)"
539,545,Surface,Office Vacant,N,10,,,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Other,,,,300.172480419712,4405.18967974998,,,,,,,,,,,2017,"320 S 1st St
Las Vegas, Nevada
(36.168066, -115.147272)"
118,,Parallel,,,17,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,371.999146190977,,On Street parking,4,E,10HR,M-F,90,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2017,"400 S. 7th
Las Vegas, Nevada
(36.16456, -115.140806)"
47,47,Surface,B&M Transmissions,N,14,,Customers,N,,,,,,,,,,,,,,N/A,,,,,NO,Retail,,,,322.982360616719,6505.37537846102,,,,,,,,,,,2017,"1501 S Main St
Las Vegas, Nevada
(36.153229, -115.153963)"
74,,Parallel,,,5,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,106.973593306282,,On Street parking,4,N,4HR,S-S,109,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2017,"500 E. Carson
Las Vegas, Nevada
(36.16805, -115.141363)"
617,624,Surface,Symphony Park,Y,524,,,Y,1,5,,,25,,N,,,,,5,Leasing the lot is available.,NA,,Metered,City of Las Vegas,City of Las Vegas,Y,,170,05/05/2014 12:00:00 AM,JHillhouse,1928.28329106383,224286.669456229,City Parking lots,2,,,,,,,,,2016,"850 W Clark Ave
Las Vegas, Nevada
(36.168198, -115.153791)"
77,,Parallel,,,9,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,273.28147944265,,On Street parking,4,N,4HR,S-S,112,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2017,"700 E. Carson
Las Vegas, Nevada
(36.167112, -115.139135)"
69,,Parallel,,,7,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,02/26/2014 12:00:00 AM,JHillhouse,258.388604900324,,On Street parking,4,N,4HR,S-S,108,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2017,"600 E. Ogden
Las Vegas, Nevada
(36.169883, -115.138749)"
261,265,Surface,Law Office - Half Price Lawyers,N,16,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,312.277039846523,5852.6451715183,,,,,,,,,,,2017,"330 E Charleston Blvd
Las Vegas, Nevada
(36.158771, -115.149893)"
220,223,Surface,Financial Services,N,6,Public Access but reserved for customers only.,Customers,N,,,,,,,N/A,,,,,,,N/A,,None,,,NO,Office,,,,225.874917129775,3147.80294037418,,,,,,,,,,,2017,"628 S 10th St
Las Vegas, Nevada
(36.160038, -115.139398)"
270,274,Surface,Monterey Motel,N,20,,Guests,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Hotel,,,,594.878108474074,16614.8659989757,,,,,,,,,,,2017,"1133 S Las Vegas Blvd
Las Vegas, Nevada
(36.157859, -115.148009)"
169,172,Surface,Law Office,N,54,Public Access / Reserved,Clients Only,N,,,,,,,N/A,,,,,,,N/A,,,,N/A,NO,Office,,,,616.841531432566,23375.5631787545,,,,,,,,,,,2017,"820 S Las Vegas Blvd
Las Vegas, Nevada
(36.160541, -115.146418)"
148,,Parallel,,,13,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,05/15/2017 12:00:00 AM,RDanser,285.780928133582,,On Street parking,4,W,4HR,S-S,19,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2016,"200 S. 3rd
Las Vegas, Nevada
(36.168393, -115.144135)"
269,273,Surface,Wells Fargo Bank,N,54,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Retail,,,,1150.57726788709,35408.0859947445,,,,,,,,,,,2017,"1121 S Las Vegas Blvd
Las Vegas, Nevada
(36.158239, -115.147759)"
593,600,Garage,Outlet Mall,Y,524,,,N,,,,,,,,,,,,,,,,,,,NO,Retail,,,,879.354819271091,39438.5447498814,,,,,,,,,,,2017,"805 S Grand Central Pkwy
Las Vegas, Nevada
(36.162928, -115.157162)"
573,580,Garage,Outlet Mall,Y,1300,,,N,,,,,,,,,,,,,,,,,,,NO,Retail,,,,1342.35820474157,91822.2050536046,,,,,,,,,,,2017,"805 S Grand Central Pkwy
Las Vegas, Nevada
(36.162928, -115.157162)"
563,570,Garage,Wells Fargo Bank,N,300,Private,Employees,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Retail,,,,376.151514142463,7326.22816759445,,,,,,,,,,,2017,"530 S Las Vegas Blvd
Las Vegas, Nevada
(36.163613, -115.144417)"
587,594,Surface,Apartments,N,12,,Residents,N,,,,,,,,,,,,,,N/A,,,,,NO,Residential,,,,517.872374537313,5716.90664805863,,,,,,,,,,,2017,"2120 Paradise Rd
Las Vegas, Nevada
(36.145569, -115.153869)"
77,,Parallel,,,9,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,273.28147944265,,On Street parking,4,N,4HR,S-S,112,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2016,"700 E. Carson
Las Vegas, Nevada
(36.167112, -115.139135)"
128,,Parallel,,,5,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,10/10/2016 12:00:00 AM,JHillhouse,104.185345505944,,On Street parking,4,S,10HR,M-F,128,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2017,"500 Garces
Las Vegas, Nevada
(36.162221, -115.145165)"
26,,Parallel,,,5,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/07/2015 12:00:00 AM,JHillhouse,192.511611299081,,On Street parking,4,W,10HR,M-F,96,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2016,"500 S. 6th
Las Vegas, Nevada
(36.163887, -115.142722)"
234,237,Surface,Comfort Dental,N,13,Public Access but reserved for customers only.,Customers Only,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Retail,,,,353.108404928535,5102.25423207128,,,,,,,,,,,2017,"801 S 7th St
Las Vegas, Nevada
(36.159948, -115.143818)"
42,,Parallel,,,10,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/07/2015 12:00:00 AM,JHillhouse,288.246463890511,,On Street parking,4,E,4HR,M-F,26,Premium Weekdays,8am-6pm,"4HR, M-F 8am-6pm",Existing,2017,"500 S. 3rd
Las Vegas, Nevada
(36.16557, -115.145999)"
461,467,Surface,Parking Lot,N,24,,,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Residential,,,,378.466378364033,6937.22628380798,,,,,,,,,,,2017,"420 S 7th St
Las Vegas, Nevada
(36.164548, -115.140814)"
82,82,Surface,Oasis Motel,N,30,,Guests,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Hotel,,,,682.443830250175,12417.5418046344,,,,,,,,,,,2017,"1731 S Las Vegas Blvd
Las Vegas, Nevada
(36.15025, -115.152973)"
227,230,Surface,Law Office - 808 ,N,13,,Customers Only,N,,,,,,,N/A,,,,,,,N/A,,,,N/A,NO,Office,,,,211.102707076441,2671.36993563546,,,,,,,,,,,2017,"820 S 7th St
Las Vegas, Nevada
(36.159335, -115.144217)"
465,471,Surface,Apartments,N,13,,Residents,N,,,,,,,N/A,,,,,,,N/A,,,,N/A,NO,Residential,,,,325.497347749071,4272.28208063,,,,,,,,,,,2017,"200 S 8th St
Las Vegas, Nevada
(36.166321, -115.138159)"
45,45,Surface,Jack in the Box,N,24,,Customers,N,,,,,,,N/A,,,,,,,N/A,,None,,,NO,Bar/Rest,,,,524.485792974377,11352.6148551062,,,,,,,,,,,2017,"1521 S Main St
Las Vegas, Nevada
(36.152638, -115.15395)"
427,433,Surface,Unknown,N,18,,Unknown,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Retail,,,,439.01034755906,9514.85681278707,,,,,,,,,,,2017,"900 S Main St
Las Vegas, Nevada
(36.16188, -115.152138)"
99,101,Surface,Law Office - Craig P. Kenny & Assoc.,N,23,,Customers & Employees,N,,,,,,,N/A,,,,,,,N/A,,,,N/A,NO,Office,,,,566.855695731558,11242.3679674346,,,,,,,,,,,2017,"501 S 8th St
Las Vegas, Nevada
(36.162991, -115.140347)"
22,22,Surface,Wedding Chapel,N,10,,Customers,N,,,,,,,NA,,,,,,,NA,,None,,,NO,Retail,,,,203.361074805702,2579.99234474896,,,,,,,,,,,2017,"616 S 3rd St
Las Vegas, Nevada
(36.163694, -115.147189)"
445,451,Surface,Motel / City Centre,N,40,,Guests,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Hotel,,,,530.256050297144,13019.1123507944,,,,,,,,,,,2017,"700 Fremont St
Las Vegas, Nevada
(36.168087, -115.138013)"
21,,Parallel,,,8,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/07/2015 12:00:00 AM,JHillhouse,254.170755660944,,On Street parking,4,E,10HR,M-F,91,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2016,"800 S. 6th
Las Vegas, Nevada
(36.160391, -115.144997)"
596,603,Surface,Clark County,Y,149,,Customers,N,,,,,,,NA,,,,,,No event fee,NA,,,,Clark County,,Government,,,,1137.57959773633,73097.5484344632,,,,,,,,,,,2017,"500 S Grand Central Pkwy
Las Vegas, Nevada
(36.164948, -115.155618)"
159,162,Surface,Bail Bonds - Payless,N,13,,Clients & Employees,N,,,,,,,,,,,,,,N/A,,,,,NO,Retail,,,,426.29231898849,6283.34461968999,,,,,,,,,,,2017,"831 S Main St
Las Vegas, Nevada
(36.162354, -115.151824)"
97,,Parallel,,,5,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,102.482332916378,,On Street parking,4,N,10HR,M-F,131,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2016,"600 Hoover
Las Vegas, Nevada
(36.159431, -115.145619)"
65,,Parallel,,,9,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,01/09/2017 12:00:00 AM,JHillhouse,200.082546731953,,On Street parking,4,E,10HR,M-F,48,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2016,"500 S. 1st
Las Vegas, Nevada
(36.166311, -115.148426)"
522,528,Surface,Juhl Condos,N,523,Unable to access,Residents & Guests,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Residential,,,,1387.07956623003,103920.674786938,,,,,,,,,,,2017,"353 E Bonneville Ave
Las Vegas, Nevada
(36.16423, -115.146293)"
572,579,Surface,World Market Center,N,80,,Employees Only,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,World Market Center,,,,765.63345420291,30231.9777157338,,,,,,,,,,,2017,"475 S Grand Central Pkwy
Las Vegas, Nevada
(36.167403, -115.155456)"
585,592,Surface,Strip Mall,N,120,120 includes 10 rear spaces,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Retail,,,,1346.05399846051,43154.7920864219,,,,,,,,,,,2017,"2246 Paradise Rd
Las Vegas, Nevada
(36.144079, -115.154747)"
252,256,Surface,Business 1001 S. 3rd St.,N,12,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,263.036932368096,4084.43639716533,,,,,,,,,,,2017,"1001 S 3rd St
Las Vegas, Nevada
(36.159628, -115.149844)"
74,,Parallel,,,5,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,106.973593306282,,On Street parking,4,N,4HR,S-S,109,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2016,"500 E. Carson
Las Vegas, Nevada
(36.16805, -115.141363)"
9,,Angle,,,14,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,340.33707965823,,On Street parking,4,W,4HR,S-S,77,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2017,"100 S. 8th
Las Vegas, Nevada
(36.167758, -115.137267)"
180,183,Surface,Law Office - Piroozi Law Group,N,4,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,192.094126686676,2295.06687815096,,,,,,,,,,,2017,"521 S 6th St
Las Vegas, Nevada
(36.163387, -115.143051)"
485,491,Surface,Apartments 811 Bridger,Y,6,,Guests,N,,,,,,,,,,,,,,N/A,,,,,NO,Residential,,,,322.167169708837,5319.66297321215,,,,,,,,,,,2017,"811 E Bridger Ave
Las Vegas, Nevada
(36.165256, -115.138276)"
187,190,Surface,Office / House,N,14,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,181.944909300339,2040.75805798736,,,,,,,,,,,2017,"508 S 7th St
Las Vegas, Nevada
(36.163159, -115.14174)"
38,,Parallel,,,11,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/07/2015 12:00:00 AM,JHillhouse,243.353780658307,,On Street parking,4,E,4HR,M-F,22,Premium Weekdays,8am-6pm,"4HR, M-F 8am-6pm",Existing,2017,"300 S. 3rd
Las Vegas, Nevada
(36.167904, -115.144445)"
474,480,Surface,Gold & Silver Pawn Shop,Y,38,,Customers,,,,,,,,,,,,,,,NA,,,,,NO,Retail,,,,477.532623862747,13809.6032594665,,,,,,,,,,,2017,"701 S Las Vegas Blvd
Las Vegas, Nevada
(36.162046, -115.14528)"
308,312,Surface,Grover & Associates,N,6,,Customers,N,,,,,,,N/A,,,,,,,N/A,,None,,,NO,Office,,,,117.017977922014,841.666472821682,,,,,,,,,,,2017,"627 S 7th St
Las Vegas, Nevada
(36.16163, -115.14273)"
114,116,Surface,Lloyd Baker Attorneys,N,14,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,266.403652279078,4379.96259869673,,,,,,,,,,,2017,"500 S 8th St
Las Vegas, Nevada
(36.162846, -115.140447)"
421,427,Surface,NV Precision Sheet Metal,N,3,Private,Employee Equipment,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Retail,,,,157.179495948043,1518.5371222322,,,,,,,,,,,2017,"721 S 1st St
Las Vegas, Nevada
(36.1635, -115.150241)"
106,108,Surface,Law Office,N,9,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,N/A,NO,Office,,,,424.300023305127,3751.4955433075,,,,,,,,,,,2017,"504 S 9th St
Las Vegas, Nevada
(36.162206, -115.139424)"
345,349,Surface,Tod Motor Hotel,N,22,,Hotel Guests,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Hotel,,,,574.261644123795,12389.1309048201,,,,,,,,,,,2017,"1500 S Casino Center Blvd
Las Vegas, Nevada
(36.153171, -115.152681)"
24,24,Surface,Bail Bonds,N,2,,Customers,N,,,,,,,,,,,,,,N/A,,,,,NO,Retail,,,,155.631287258549,1135.63610505731,,,,,,,,,,,2017,"608 S 3rd St
Las Vegas, Nevada
(36.163942, -115.147029)"
75,75,Surface,Tacos Mexico,N,24,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Bar/Rest,,,,667.122937704987,14355.4333742648,,,,,,,,,,,2017,"1800 S Las Vegas Blvd
Las Vegas, Nevada
(36.149879, -115.153405)"
580,587,Surface,Strip Mall,N,115,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Retail,,,,876.155882412171,44536.6309329134,,,,,,,,,,,2017,"2400 S Las Vegas Blvd
Las Vegas, Nevada
(36.144028, -115.157201)"
136,,Parallel,,,10,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,261.948328065143,,On Street parking,4,N,10HR,M-F,158,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2016,"200 Garces
Las Vegas, Nevada
(36.163523, -115.148186)"
105,,Parallel,,,3,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,01/03/2017 12:00:00 AM,JHillhouse,64.3601506948334,,On Street parking,4,N,4HR,S-S,2510,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2017,"400 E. Ogden
Las Vegas, Nevada
(36.170728, -115.140671)"
350,354,Surface,Apartments - Town Lodge,N,20,,Residents,N,,,,,,,,,,,,,,N/A,,,,,NO,Residential,,,,320.928011558047,5741.3492604632,,,,,,,,,,,2017,"221 N 7th St
Las Vegas, Nevada
(36.170226, -115.137151)"
30,,Parallel,,,12,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,10/05/2015 12:00:00 AM,JHillhouse,327.864390676825,,On Street parking,4,W,10HR,M-F,100,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2017,"200 S. 6th
Las Vegas, Nevada
(36.167302, -115.14046)"
536,542,Garage,Golden Nugget,Y,561,Gate equipment is Federal APD,Guests & Visitors,Y,2,48,,,,,Y,4,w/ valid ID,,,,No fee,Y,,,,ADP,NO,Gaming,,,,1045.63861207551,49218.9233535365,,,,,,,,,,,2017,"200 S 1st St
Las Vegas, Nevada
(36.169404, -115.146384)"
137,139,Surface,Bad Boys Bail Bonds,N,2,,Employees,N,,,,,,,,,,,,,,N/A,,,,,NO,Retail,,,,112.446687563553,715.280097406584,,,,,,,,,,,2017,"800 S Casino Center Blvd
Las Vegas, Nevada
(36.162412, -115.14958)"
272,276,Surface,Corporate Services,N,24,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,570.193544527128,12313.5874135128,,,,,,,,,,,2017,"800 E Charleston Blvd
Las Vegas, Nevada
(36.158857, -115.14298)"
59,59,Garage,Business Office,N,40,,Customers & Employees,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,444.719555032366,12359.6246795461,,,,,,,,,,,2017,"703 S 8th St
Las Vegas, Nevada
(36.160596, -115.141918)"
13,,Parallel,,,12,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/14/2015 12:00:00 AM,JHillhouse,349.447352834262,,On Street parking,4,W,10HR,M-F,81,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2016,"200 N. 7th
Las Vegas, Nevada
(36.169433, -115.137616)"
456,462,Surface,Vacant Building,N,21,Vacant Building,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Other,,,,486.333725369755,6994.91019367661,,,,,,,,,,,2017,"403 S 6th St
Las Vegas, Nevada
(36.16503, -115.141943)"
149,,Angle,,,9,,,,$ 2.00 per Hour,,,,,,,,,,,,,,,,,,,,,01/03/2017 12:00:00 AM,JHillhouse,259.832151142546,,On Street parking,4,E,4HR,S-S,20,Premium,8am-10pm,"4HR, S-S 8am-10pm",Existing,2016,"200 S. 3rd
Las Vegas, Nevada
(36.168393, -115.144135)"
487,493,Surface,Law Office -  812,N,10,Unstriped Lot/Parking in Rear,Customers Only,N,,,,,,,N/A,,,,,,,N/A,,,,N/A,NO,Office,,,,230.311350853395,3248.65230466003,,,,,,,,,,,2017,"812 S 6th St
Las Vegas, Nevada
(36.160026, -115.145233)"
67,67,Surface,Law Office - Cary-Colt-Payne,N,10,,Clients,N,,,,,,,N/A,,,,,,,N/A,,,,N/A,NO,Office,,,,225.818140460159,2771.80796764925,,,,,,,,,,,2017,"706 S 8th St
Las Vegas, Nevada
(36.160461, -115.14201)"
64,,Parallel,,,11,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/07/2015 12:00:00 AM,JHillhouse,330.06905866079,,On Street parking,4,W,10HR,M-F,47,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2017,"500 S. 1st
Las Vegas, Nevada
(36.166311, -115.148426)"
20,,Parallel,,,9,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/07/2015 12:00:00 AM,JHillhouse,360.885921817052,,On Street parking,4,W,10HR,M-F,88,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2016,"300 S. 7th
Las Vegas, Nevada
(36.165485, -115.140211)"
30,30,Surface,Desert Star Motel,N,21,,Guests,N,,,,,,,N/A,,,,,,,N/A,,None,,,NO,Hotel,,,,435.462953110742,10619.1444761152,,,,,,,,,,,2017,"1210 S Las Vegas Blvd
Las Vegas, Nevada
(36.156196, -115.149263)"
206,209,Surface,Manning & Hall Court reporters,N,7,,Customers,N,,,,,,,N/A,,,,,,,N/A,,,,,NO,Office,,,,210.971920306244,2775.19372907278,,,,,,,,,,,2017,"617 S 8th St
Las Vegas, Nevada
(36.161357, -115.141433)"
127,129,Surface,Apartments - Desert Realty,N,5,Private,Tenants,N,,,,,,,,,,,,,,N/A,,,,,NO,Residential,,,,144.810343383418,1162.06822738839,,,,,,,,,,,2017,"714 S 3rd St
Las Vegas, Nevada
(36.162589, -115.147916)"
301,305,Surface,Integrity Tax Service,N,6,,Customers,N,,,,,,,N/A,,,,,,,N/A,,None,,,NO,Retail,,,,185.290654767368,2135.91039123099,,,,,,,,,,,2017,"618 S 7th St
Las Vegas, Nevada
(36.16174, -115.142657)"
490,496,Surface,Bail Bond - All Star Bail Bonds,N,10,Public Access but reserved for customers only.,Customers Only,N,,,,,,,,,,,,,,N/A,,,,,NO,Retail,,,,317.734216072598,2641.83249544969,,,,,,,,,,,2017,"551 Gass Ave
Las Vegas, Nevada
(36.16076, -115.14521)"
48,,Parallel,,,5,,,,$ 1.00 per Hour,,,,,,,,,,,,,,,,,,,,,04/07/2015 12:00:00 AM,JHillhouse,108.231974061155,,On Street parking,4,W,10HR,M-F,32,Supplemental,8am-6pm,"10HR, M-F 8am-6pm",Existing,2016,"700 S. 4th
Las Vegas, Nevada
(36.162526, -115.146508)"
